               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.032302,            0.052959,            0.028797,             0.79767,             0.64583,             0.79598,             0.58935,            0.026947,            0.040057,            0.023373,            0.001585,            0.001585,            0.001585
                  87,            0.031333,            0.059162,            0.022532,             0.82537,             0.64583,             0.80304,             0.58138,            0.024004,            0.038705,            0.023158,            0.001486,            0.001486,            0.001486
                  88,            0.029884,             0.07367,            0.022166,             0.82537,             0.64583,             0.80304,             0.58138,            0.024004,            0.038705,            0.023158,            0.001387,            0.001387,            0.001387
                  89,            0.031576,            0.051916,            0.029481,             0.82729,             0.64583,             0.79319,             0.59425,            0.024339,            0.037988,            0.023039,            0.001288,            0.001288,            0.001288
                  90,            0.030254,            0.048032,            0.021327,             0.82729,             0.64583,             0.79319,             0.59425,            0.024339,            0.037988,            0.023039,            0.001189,            0.001189,            0.001189
                  91,            0.027928,             0.06092,             0.02179,             0.83231,             0.64995,             0.79133,             0.56969,            0.023152,            0.037686,            0.022888,             0.00109,             0.00109,             0.00109
                  92,            0.030446,            0.076073,            0.025017,             0.83231,             0.64995,             0.79133,             0.56969,            0.023152,            0.037686,            0.022888,            0.000991,            0.000991,            0.000991
                  93,            0.031223,            0.049847,             0.02466,             0.83905,             0.65252,             0.78829,             0.60145,            0.022411,            0.036868,            0.022806,            0.000892,            0.000892,            0.000892
                  94,            0.029807,             0.04918,            0.023092,             0.83905,             0.65252,             0.78829,             0.60145,            0.022411,            0.036868,            0.022806,            0.000793,            0.000793,            0.000793
                  95,            0.027612,            0.049215,            0.020297,             0.83983,             0.63299,              0.7858,             0.58126,            0.021457,            0.036152,            0.022746,            0.000694,            0.000694,            0.000694
                  96,             0.03068,            0.057887,            0.028082,             0.83983,             0.63299,              0.7858,             0.58126,            0.021457,            0.036152,            0.022746,            0.000595,            0.000595,            0.000595
                  97,            0.026153,            0.057572,            0.025566,             0.85187,               0.625,             0.78698,              0.5849,            0.020704,            0.035708,            0.022733,            0.000496,            0.000496,            0.000496
                  98,            0.027748,             0.05315,            0.022473,             0.85187,               0.625,             0.78698,              0.5849,            0.020704,            0.035708,            0.022733,            0.000397,            0.000397,            0.000397
                  99,            0.029112,            0.069922,            0.025118,             0.84978,               0.625,             0.78419,             0.58171,            0.020576,            0.035547,            0.022691,            0.000298,            0.000298,            0.000298
